"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.691249500E0,9.632849246E-2,-4.733496487E-1,-5.173804251E-1,7.078287736E-1
2.701221500E0,7.634936057E-2,-9.666347945E-1,-5.864599425E-1,1.133202239E0
2.711192500E0,-4.409019873E-2,-1.474772453E0,-6.146816019E-1,1.598352653E0
2.721164500E0,-1.842308548E-1,-1.945147623E0,-6.459975348E-1,2.057875870E0
2.731135500E0,-2.642700277E-1,-2.448431507E0,-6.674147163E-1,2.551489349E0
2.741107500E0,-3.634691376E-1,-2.908731925E0,-6.654915670E-1,3.005945816E0
2.751079500E0,-5.193103717E-1,-3.336223615E0,-6.626591027E-1,3.440812166E0
2.761050500E0,-6.437155858E-1,-3.776040067E0,-6.387749078E-1,3.883411094E0
2.771022500E0,-6.717200211E-1,-4.169506810E0,-6.080327330E-1,4.266813639E0
2.780993500E0,-6.892498275E-1,-4.530486422E0,-5.591394851E-1,4.616601511E0
2.790965500E0,-7.665644172E-1,-4.878033811E0,-5.468731961E-1,4.968088683E0
2.800936500E0,-7.914513364E-1,-5.201219360E0,-5.246297300E-1,5.287183977E0
2.810908500E0,-7.056912477E-1,-5.458329034E0,-4.594695282E-1,5.522903967E0
2.820880500E0,-6.273666246E-1,-5.679316363E0,-4.317858857E-1,5.730153775E0
2.830851500E0,-6.487607827E-1,-5.923410135E0,-4.106914705E-1,5.972967911E0
2.840823500E0,-5.989475486E-1,-6.100679587E0,-4.061259645E-1,6.143449185E0
2.850794500E0,-4.879964123E-1,-6.201822385E0,-3.833965947E-1,6.232795066E0
2.860766500E0,-4.169978388E-1,-6.318546842E0,-3.469446138E-1,6.341789334E0
2.870737500E0,-4.285699171E-1,-6.409970983E0,-3.659707958E-1,6.434697724E0
2.880709500E0,-3.854537914E-1,-6.422099277E0,-3.410493779E-1,6.442689534E0
2.890681500E0,-2.549713469E-1,-6.444532120E0,-3.457400509E-1,6.458834324E0
2.900652500E0,-2.106923562E-1,-6.411932724E0,-3.681506743E-1,6.425947980E0
2.910624500E0,-2.530495863E-1,-6.324003464E0,-3.725395578E-1,6.340018898E0
2.920595500E0,-2.735116982E-1,-6.220596625E0,-3.389069216E-1,6.235823034E0
2.930567500E0,-2.214695786E-1,-6.110567229E0,-3.376580294E-1,6.123895294E0
2.940539500E0,-2.357214358E-1,-5.930928485E0,-3.493705140E-1,5.945884042E0
2.950510500E0,-3.186579041E-1,-5.690957000E0,-3.712654130E-1,5.711949969E0
2.960482500E0,-3.781102733E-1,-5.473986708E0,-3.614748716E-1,5.498923707E0
2.970453500E0,-3.895242575E-1,-5.211531510E0,-2.968356202E-1,5.234491495E0
2.980425500E0,-4.294963353E-1,-4.883450087E0,-2.774802218E-1,4.910147363E0
2.990396500E0,-5.384937707E-1,-4.557383029E0,-2.870210870E-1,4.598053580E0
3.000368500E0,-5.893763144E-1,-4.219770060E0,-2.395189101E-1,4.267457453E0
3.010340500E0,-5.496865474E-1,-3.806025758E0,-1.590524336E-1,3.848803067E0
3.020311500E0,-4.856880777E-1,-3.383403629E0,-7.893329998E-2,3.418997440E0
3.030283500E0,-4.718247680E-1,-2.968164194E0,-3.939503074E-2,3.005689482E0
3.040254500E0,-3.661420461E-1,-2.503040993E0,4.263614237E-2,2.530037955E0
3.050226500E0,-1.633440889E-1,-1.998544981E0,1.593535835E-1,2.011530983E0
3.060197500E0,-2.296830162E-2,-1.523351705E0,2.040268958E-1,1.537125543E0
3.070169500E0,7.674368218E-2,-1.036486802E0,1.933703452E-1,1.057159673E0
3.080141500E0,2.490833469E-1,-4.958012027E-1,2.319110978E-1,6.013685255E-1
3.090112500E0,4.352599358E-1,4.506449103E-3,2.509437847E-1,5.024383573E-1
