"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.346638750E0,4.252452999E-1,2.867578636E0,-2.036398101E-1,2.906081550E0
2.356609750E0,5.423581589E-1,3.010063003E0,-1.275353748E-1,3.061192076E0
2.366581750E0,6.663204829E-1,3.134271896E0,-6.965729991E-2,3.205073392E0
2.376553750E0,7.298060422E-1,3.249860240E0,-2.576925497E-2,3.330896650E0
2.386524750E0,7.009636277E-1,3.348933123E0,3.396881461E-2,3.421674583E0
2.396496750E0,6.227157493E-1,3.450984578E0,8.157275140E-2,3.507666400E0
2.406468750E0,4.981960395E-1,3.507365186E0,8.329768002E-2,3.543550246E0
2.416439750E0,2.976830645E-1,3.535849897E0,6.044734140E-2,3.548873565E0
2.426411750E0,6.772511948E-2,3.587860295E0,2.493662059E-2,3.588586076E0
2.436383750E0,-1.249431579E-1,3.625923915E0,-4.360795418E-2,3.628338006E0
2.446354750E0,-3.176350799E-1,3.625011749E0,-1.119671631E-1,3.640623418E0
2.456326750E0,-4.614037506E-1,3.643401827E0,-1.578122574E-1,3.675891049E0
2.466298750E0,-5.361423494E-1,3.636081698E0,-2.379120952E-1,3.683088500E0
2.476269750E0,-5.349803615E-1,3.632556412E0,-2.721750247E-1,3.681813319E0
2.486241750E0,-4.764010182E-1,3.613000984E0,-2.802500296E-1,3.655034079E0
2.496213750E0,-3.665972518E-1,3.592944449E0,-2.926157212E-1,3.623433085E0
2.506184750E0,-1.868838279E-1,3.538035001E0,-2.549853802E-1,3.552131019E0
2.516156750E0,-3.345648888E-2,3.485341063E0,-2.063464862E-1,3.491604293E0
2.526128750E0,1.216719514E-1,3.427523795E0,-1.396373570E-1,3.432524147E0
2.536099750E0,2.451779550E-1,3.339808543E0,-8.456945856E-2,3.349863479E0
2.546071750E0,3.180139795E-1,3.237348953E0,-3.441320300E-2,3.253113186E0
2.556043750E0,3.306745536E-1,3.128731075E0,2.472612083E-2,3.146254151E0
2.566014750E0,2.897255522E-1,3.010157143E0,5.366691013E-2,3.024544107E0
2.575986750E0,1.837738584E-1,2.847775286E0,5.447382589E-2,2.854218687E0
2.585958750E0,9.464385482E-3,2.696204932E0,4.987206717E-2,2.696682746E0
2.595929750E0,-1.849685176E-1,2.531325145E0,2.109792352E-2,2.538161828E0
2.605901750E0,-3.557234772E-1,2.356236704E0,-1.504547745E-2,2.382984885E0
2.615873750E0,-5.276245642E-1,2.168197850E0,-7.933268309E-2,2.232882279E0
2.625844750E0,-6.764705184E-1,1.996516582E0,-1.206426769E-1,2.111455772E0
2.635816750E0,-7.657959469E-1,1.810967472E0,-1.539712214E-1,1.972245866E0
2.645788750E0,-7.750132053E-1,1.625988466E0,-1.680390376E-1,1.809066355E0
2.655759750E0,-7.784497601E-1,1.433748972E0,-1.756129360E-1,1.640871734E0
2.665731750E0,-7.188039943E-1,1.235259975E0,-1.571310568E-1,1.437788773E0
2.675703750E0,-6.120425707E-1,1.043625668E0,-1.394765586E-1,1.217868775E0
2.685674750E0,-4.740971787E-1,8.575140560E-1,-1.116274399E-1,9.861841493E-1
2.695646750E0,-3.533825444E-1,6.421418077E-1,-5.230977595E-2,7.348208193E-1
2.705618750E0,-2.232078096E-1,4.553133273E-1,-2.006413579E-2,5.074785925E-1
2.715589750E0,-9.934826871E-2,2.461303568E-1,-5.347862294E-3,2.654784938E-1
2.725561750E0,-4.532109244E-2,5.023693800E-2,5.304827929E-2,8.597599255E-2
2.735533750E0,-3.248515673E-2,-1.769110179E-1,8.662649989E-2,1.996420400E-1
2.745504750E0,-3.549758742E-2,-4.043525040E-1,9.137326956E-2,4.160650197E-1
2.755476750E0,-7.628695982E-2,-6.021111846E-1,1.001300597E-1,6.151289358E-1
2.765448750E0,-1.889728919E-1,-8.169519210E-1,1.038874805E-1,8.449342008E-1
2.775419750E0,-2.856389880E-1,-1.045931810E0,9.589199781E-2,1.088466011E0
2.785391750E0,-3.830497818E-1,-1.256930341E0,7.582785746E-2,1.316188011E0
2.795363750E0,-5.092634665E-1,-1.454367424E0,6.515669803E-2,1.542329173E0
2.805334750E0,-6.102414456E-1,-1.661400374E0,6.438837846E-2,1.771099005E0
2.815306750E0,-7.140644605E-1,-1.854812819E0,4.982531229E-2,1.988140138E0
2.825278750E0,-7.495335245E-1,-2.019180390E0,2.813446283E-2,2.153991991E0
2.835249750E0,-7.721396642E-1,-2.208522003E0,3.774962425E-2,2.339913275E0
2.845221750E0,-7.957950137E-1,-2.385415480E0,4.269987702E-2,2.515018885E0
2.855193750E0,-7.509416071E-1,-2.500762918E0,3.924534202E-2,2.611372947E0
2.865164750E0,-6.977605230E-1,-2.656813409E0,6.775402665E-2,2.747747777E0
2.875136750E0,-6.204536077E-1,-2.801943641E0,7.940750917E-2,2.870915603E0
2.885108750E0,-5.437874743E-1,-2.898492866E0,9.167264700E-2,2.950486330E0
2.895079750E0,-4.581422833E-1,-3.004188890E0,1.002341219E-1,3.040574307E0
2.905051750E0,-3.564418442E-1,-3.141144714E0,1.422300124E-1,3.164501584E0
2.915023750E0,-2.729857777E-1,-3.217687690E0,1.520743847E-1,3.232825687E0
2.924994750E0,-1.945651141E-1,-3.270016762E0,1.439292133E-1,3.278960327E0
2.934966750E0,-1.161384571E-1,-3.367475814E0,1.655159640E-1,3.373540726E0
2.944938750E0,-9.519603297E-2,-3.436287602E0,1.915220404E-1,3.442937039E0
2.954909750E0,-7.851904303E-2,-3.465175771E0,1.977738833E-1,3.471703166E0
2.964881750E0,-5.801395409E-2,-3.528156130E0,1.947356518E-1,3.534002444E0
2.974853833E0,-8.462651460E-2,-3.572562810E0,2.021861923E-1,3.579280086E0
2.984824833E0,-1.130251071E-1,-3.585990356E0,2.152769387E-1,3.594223931E0
2.994796833E0,-1.528596292E-1,-3.588697032E0,2.287278736E-1,3.599226152E0
3.004768833E0,-2.016017631E-1,-3.620842100E0,2.154944551E-1,3.632847181E0
3.014739833E0,-2.295417146E-1,-3.594955307E0,2.102085904E-1,3.608404177E0
3.024711833E0,-3.036175864E-1,-3.562677507E0,2.280157010E-1,3.582854423E0
3.034683833E0,-3.578946580E-1,-3.545150478E0,2.072405438E-1,3.569191665E0
3.044654833E0,-4.041261071E-1,-3.496026850E0,2.018692915E-1,3.525091893E0
3.054626833E0,-4.339902129E-1,-3.408632026E0,2.122363865E-1,3.442697209E0
3.064598833E0,-4.275400031E-1,-3.347560197E0,2.058441921E-1,3.381023744E0
3.074569833E0,-3.980723751E-1,-3.256431341E0,1.726004505E-1,3.285208914E0
